Nucli;ReceptorID;h_rec(m);Ld_turb;Ld_pre;Ld_tot;Le_turb;Le_pre;Le_tot;Ln_turb;Ln_pre;Ln_tot;Lden_turb;Lden_pre;Lden_tot;X;Y
La Pobla de Ferran;LPF-1;4.0;38.5;41.0;42.9;38.9;41.0;43.1;39.3;46.0;46.8;45.4;51.6;52.5;349013.0;4599960.0
Passanant;PAS-1;4.0;39.0;55.0;55.1;39.4;53.0;53.2;39.8;49.0;49.5;45.9;57.0;57.3;349782.0;4599406.0
Passanant;PAS-2;4.0;40.4;63.0;63.0;40.8;63.0;63.0;41.1;37.0;42.5;47.2;62.3;62.5;349455.0;4599284.0
Passanant;PAS-3;4.0;40.4;47.0;47.9;40.8;47.0;47.9;41.1;33.0;41.7;47.2;46.9;50.1;349455.0;4599284.0
Glorieta;GLO-1;4.0;44.0;42.0;46.1;44.3;42.0;46.3;44.6;53.0;53.6;50.7;58.3;59.0;350214.0;4597975.0
Glorieta;GLO-2;4.0;44.1;52.0;52.7;44.4;50.0;51.1;44.7;49.0;50.4;50.8;55.8;57.0;350170.0;4597975.0
La Sala de Comalats;LSC-1;4.0;40.1;46.0;47.0;40.4;46.0;47.1;40.8;58.0;58.1;46.9;63.3;63.4;351251.0;4597853.0
La Sala de Comalats;LSC-2;4.0;40.1;53.0;53.2;40.4;52.0;52.3;40.8;51.0;51.4;46.9;57.6;58.0;351251.0;4597853.0
Belltall;BEL-1;4.0;41.0;52.0;52.3;41.3;52.0;52.4;41.7;60.0;60.1;47.8;65.4;65.5;348485.0;4596665.0
Belltall;BEL-2;4.0;40.4;55.0;55.1;40.8;52.0;52.3;41.2;49.0;49.7;47.3;56.9;57.4;348656.0;4596434.0
