turbina;receptor_id;x;y;dist_m;h_max_exced_m;tolerance_m;LOS_clara
LF1;FON-1;352466.2;4598962.79;2595.4145666022564;-7.568449722258265;1.0;True
LF2;FON-1;352466.2;4598962.79;1015.1378354195623;-2.8402769027218255;1.0;True
LF3;FON-1;352466.2;4598962.79;666.6429077851211;-5.66411063341593;1.0;True
LF4;FON-1;352466.2;4598962.79;819.5684851187469;-5.183984533532794;1.0;True
LF5;FON-1;352466.2;4598962.79;868.2141425363463;-4.1020318556202255;1.0;True
LF6;FON-1;352466.2;4598962.79;1167.1856648367677;2.957743427541004;1.0;False
LF15;FON-1;352466.2;4598962.79;1731.9718696121595;-7.740963789345528;1.0;True
LF14;FON-1;352466.2;4598962.79;2009.6878557603918;-7.667567226952087;1.0;True
LF13;FON-1;352466.2;4598962.79;2206.850640121325;-7.621818403764223;1.0;True
LF12;FON-1;352466.2;4598962.79;2398.9331891313977;-7.578598054450026;1.0;True
Y07;FON-1;352466.2;4598962.79;3028.331458757477;55.487637155424295;1.0;False
Y8B;FON-1;352466.2;4598962.79;2797.0975642798367;36.1836843962717;1.0;False
LF1;LSC-1;351251.0;4597853.0;1312.1961983451506;-4.227418170472333;1.0;True
LF2;LSC-1;351251.0;4597853.0;749.3613803764017;-4.745334791100504;1.0;True
LF3;LSC-1;351251.0;4597853.0;1040.2869743486776;-4.6165861241958055;1.0;True
LF4;LSC-1;351251.0;4597853.0;1463.9925455067314;-4.380335872745832;1.0;True
LF5;LSC-1;351251.0;4597853.0;1790.2752639748896;-4.326989097932824;1.0;True
LF6;LSC-1;351251.0;4597853.0;2207.8525518025704;-2.345946114018261;1.0;True
LF15;LSC-1;351251.0;4597853.0;1217.1064377566142;-4.457275390625;1.0;True
LF14;LSC-1;351251.0;4597853.0;1387.058428866532;-4.4986695482137975;1.0;True
LF13;LSC-1;351251.0;4597853.0;1482.9633362571258;-4.504676748853171;1.0;True
LF12;LSC-1;351251.0;4597853.0;1579.7936090879198;-4.41617982153798;1.0;True
Y07;LSC-1;351251.0;4597853.0;1406.1184160660155;-4.222823112241713;1.0;True
Y8B;LSC-1;351251.0;4597853.0;1159.5904449416612;-4.523312076107459;1.0;True
